Date,Year,Exam Name,Conducting Body,Conducting Body Type,State,Leak Confirmation Status,Action taken,Action Category,Response Severity,Repeat Offender,Prior Incidents (Same Body),Note about action Taken,Note about incident,Appeared Students,Appeared Students Reported,References
2024-08-26,2024,B.Ed. 4th Sem Exam : Creating an Inclusive School,Tamil Nadu Teachers Education University,State,Tamil Nadu,Alleged,Alternative Question Paper Used,Alternative Paper Used,Moderate Response,False,0,Alternative Question Paper Used,Paper leaked on social media before exam,,False,TNTEU registrar relieved after reports of B.Ed exam paper leak (dtnext.in)
2024-08-04,2024,MBA 1st year Exam,Pondicherry University,Central,Pondicherry,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action against exam mafia,Paper leaked on social media before exam,,False,"Pondicherry University First-year MBBS Exam Paper Leaked, Test Postponed - News18"
2024-07-06,2024,Foreign Medical Graduate Examination,National Board of Examinations in Medical Sciences (NBEMS),Central,Kerala,Alleged,Legal action taken and claim dismissed,Legal Action Taken,Moderate Response,False,0,"No Rexam and checking of evidence, claim dismissed",Paper leaked on social media,,False,So far no evidence: Kerala Police on FMGE paper leak | Thiruvananthapuram News - The Indian Express
2024-06-30,2024,Agriculture Development Officers ,Punjab Public Service Commission,State,Punjab,Alleged,,Not Reported,Unknown,False,0,No Rexam,Claim: Offical demanded bribe for leaking paper,,False,"Now, ADO recruitment exam in Punjab under paper leak cloud; Opposition tears into state govt (indianexpress.com)"
2024-06-18,2024,UGC NET 2024,National Testing Agency,Central,All India,Alleged,No Rexam,No Corrective Action,No Consequence,True,1,Exam cancellation decision overruled by Supreme Court,accusation of paper leak,,False,"Supreme Court upholds decision to cancel UGC NET 2024 exam, allows re-examination on August 21 | Mint (livemint.com)"
2024-06-09,2024,ADC Recruitment Exam,Tripura Tribal Areas Autonomous District Council,State,Tripura,Confirmed,Legal action taken,Legal Action Taken,Moderate Response,False,0,No Re-exam,Answer Key leaked before exam,,False,adc exams answer key leaked one arrested | tripuratimes
2024-05-28,2024,MBA Semster Exam,Devi Ahilya Vishwavidyalaya's (DAVV),State,Madhya Pradesh,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action taken against involved people,Paper leaked on social media before exam,,False,Indore: Question Papers Of Two Subjects Of MBA In DAVV Leaked 15 Hours Before Exam: Both Exams Cancelled (freepressjournal.in)
2024-04-28,2024,VIT Engineering Exam,VIT,Private,All India,Confirmed,Chargesheet,Chargesheet Filed,Strong Response,False,0,Legal action against exam mafia,Leaking of question paper via remote access at a exam center,,False,Engineering entrance exam: STF arrests 2 for VIT question paper leak - Hindustan Times
2024-04-16,2024,Teacher Recruitment Exam,Bihar Public Service Commission,State,Bihar,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,True,1,Legal action against exam mafia,Paper leaked on social media,,False,TRE 3.0 Paper Leak: Tre 3.0 Paper Leak Case: Five Key Accused Produced In Court | Patna News - Times of India (indiatimes.com)
2024-03-17,2024,Civil Services Prelims,Jharkhand Public Service Commission,State,Jharkhand,Alleged,Reports Denied,Reports Denied,No Consequence,False,0,dissmised as fake news,Video calimed that seal of question papers found broken,,False,JPSC Conducts Civil Services Prelims: JPSC Conducts Civil Services Prelims Amid Paper Leak Controversy | Ranchi News - Times of India (indiatimes.com)
2024-02-17,2024,Constable Exam,Uttar Pradesh Police Recruitment and Promotion Board,State,Uttar Pradesh,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action against exam mafia,Paper leaked on social media,,False,Main accused in UP constable exam paper leak arrested: STF | Lucknow News - The Indian Express
2024-02-16,2024,High School English Exam,Assam Board of Secondary Education,State,Assam,Alleged,Claim dissmissed,Claim Dismissed,No Consequence,True,1,dissmised as fake news,claim : question paper leaked from one center,,False,Assam Education Minister Ranoj Pegu Dismisses HSLC Question Paper Leak Claims - News18
2024-02-11,2024,Review Officer/Assistant Review Officer ,Uttar Pradesh Public Service Commission,State,Uttar Pradesh,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,True,2,Legal action against exam mafia,Paper leaked on social media,,False,Four more arrested in RO/ARO exam paper leak; Mastermind still elusive | Lucknow News - Times of India (indiatimes.com)
2023-12-26,2023,B.Tech CS Question Paper 5th Sem,Parul University,Private,Gujarat,Confirmed,Exam Cancelled,Exam Cancelled,Moderate Response,False,0,Legal action taken against involved people,Selling of question papers,,False,Leaking Exam Papers: Leaking BTech Exam Papers of Parul University Vadodara - Two Arrested | Vadodara News - Times of India (indiatimes.com)
2023-12-25,2023,Teacher Eligibility Test,West Bengal Board of Primary Education,State,West Bengal,Alleged,dismissed claim,Claim Dismissed,No Consequence,True,1,Fake news suggested,Claim : paper leak,,False,TET Paper Leak: Govt seeks report after TET paper leak on social media | Kolkata News - Times of India (indiatimes.com)
2023-12-24,2023,Class 10 Bengali pre-board examination,Tripura Board of Secondary Education (TBSE),State,Tripura,Confirmed,No action taken,No Corrective Action,No Consequence,False,0,No Re-exam,Paper leaked on social media before exam,,False,Pre-board exam paper leak in Tripura: AIDSO seeks stern action against culprits | North East India News - The Indian Express
